Store Number,Store Name,Customer Segment,Address,County,Store Longitude,Store Latitude
3877,TARGET STORE T-2041 / DES MOINES,Champions,5901 DOUGLAS AVE,POLK,-93.69941,41.62957
4582,JIFFY #926 / SPIRIT LAKE,Champions,"2402, 17TH ST",DICKINSON,-95.12549,43.42285
5564,CASEY'S GENERAL STORE #2785 / ANKENY,Big Spenders,1602 W 1ST ST,POLK,-93.62195,41.73224
6293,JET STOP WEST POINT / WEST POINT,Need Attention,703 AVENUE D,LEE,-91.44855,40.71667
3521,AMERISTAR CASINO / COUNCIL BLUFFS,Champions,2200 RIVER ROAD,POTTAWATTAMIE,-95.90691,41.24039
5386,CASEY'S GENERAL STORE # 2494/ EAGLE GROVE,Big Spenders,200 S COMMERCIAL AVE,WRIGHT,-93.90448,42.66278
5827,CASEY'S GENERAL STORE #2636 / KEOKUK,Big Spenders,3530 MAIN ST,LEE,-91.41035,40.42268
5635,"BREW, GAS, COFFEE, SPIRIT, CIGARATTE",Big Spenders,404  11TH ST,WOODBURY,-95.78529,42.48222
4312,I-80 LIQUOR / COUNCIL BLUFFS,Champions,2411 S 24TH ST #1 PO STN RR,POTTAWATTAMIE,-95.87857,41.23811
3626,WAL-MART 2714 / SPENCER,Champions,500  11TH ST,CLAY,-95.15207,43.14863
4453,SID'S GAS AND GROCERIES,Big Spenders,"1116, HWY 69 SOUTH",WINNEBAGO,-93.63441,43.25575
6097,BREW OIL #51 / SANBORN,Big Spenders,101 W 7TH ST,O'BRIEN,-95.65585,43.18599
4073,"UPTOWN LIQUOR, LLC",Champions,306 HWY 69 SOUTH,WINNEBAGO,-93.63329,43.2615
6187,MILL CREEK LIQUORS / PAULLINA,Need Attention,132 NORTH MAIN STREET,O'BRIEN,-95.68771,42.98148
6048,MOD / FORT MADISON,Big Spenders,1531 AVE H,LEE,-91.32608,40.63018
5254,DISCOUNT LIQUOR,Champions,2933 1ST AVE SE,LINN,-91.63485,42.0071
4517,CASEY'S GENERAL STORE #2767 / CEDAR RAPIDS,Potential Loyalist,3434 1ST AVE NE,LINN,-91.63499,42.01309
4268,FAREWAY STORES #531 / ALGONA,Big Spenders,1905 HIGHWAY 18 E,KOSSUTH,-94.21405,43.0828
5287,YESWAY STORE # 1029/ CLARION,Need Attention,300 CENTRAL AVE W,WRIGHT,-93.7356,42.73162
4893,CASEY'S GENERAL STORE #3098 / WDM,Potential Loyalist,105 GRAND AVE,POLK,-93.70419,41.58307
6299,CASEY'S #3953 / DES MOINES,Potential Loyalist,3121 FOREST AVENUE,POLK,-93.66063,41.60442
5937,CARSTENSEN'S MEAT AND GROCERY / LAKE PARK,Big Spenders,201 MARKET ST N,DICKINSON,-95.32129,43.4549
4382,KUM & GO #8 / 8TH ST / WDM,Big Spenders,1293 8TH ST.,POLK,-93.71323,41.59015
2233,FORBES LIQUOR LOCKER / REMI,Need Attention,2508 ENTERPRISE AVE,DICKINSON,-95.1268,43.41662
5448,FAREWAY STORES #177/ FORT MADISON,Champions,1820 AVENUE H,LEE,-91.33115,40.63024
5810,CASEY'S GENERAL STORE #2576 / WHAT CHEER,Big Spenders,410 S BARNES ST,KEOKUK,-92.35467,41.39882
5822,CASEY'S GENERAL STORE #2836 / MONROE,Big Spenders,509 S MONROE ST,JASPER,-93.10176,41.51775
4446,QUIK TRIP #513 / URBANDALE,Champions,4600 MERLE HAY ROAD,POLK,-93.69859,41.64444
2711,HY-VEE GAS #2 / OTTUMWA,Big Spenders,2457 N COURT ST,WAPELLO,-92.40807,41.04883
4971,FAREWAY STORES #138 / PLEASANT HILL,Champions,"5500, E UNIVERSITY AVE",POLK,-93.50666,41.59911
3656,TARGET STORE T-1767 / ANKENY,Champions,2135 SE DELAWARE AVE,POLK,-93.58112,41.70851
4591,CASEY'S GENERAL STORE #3052 / CLARION,Big Spenders,"222, CENTRAL AVE",WRIGHT,-93.73066,42.73168
3707,TARGET STORE T-1768 / CEDAR RAPIDS,Champions,1030 BLAIRS FERRY RD,LINN,-91.65109,42.03521
5763,CASEY'S GENERAL STORE #1374 / COLFAX,Big Spenders,501 W STATE ST,JASPER,-93.25194,41.67359
3045,BRITT FOOD CENTER,Big Spenders,8 2ND ST NW,HANCOCK,-93.80256,43.09867
6099,BREW OIL #29 / EMMETSBURG,Big Spenders,2401 MAIN ST,PALO ALTO,-94.68195,43.11196
6338,TOBACCO HUT PLUS US GAS / DES MOINES,Champions,3000 SW 9TH STREET,POLK,-93.6257,41.55788
5762,CASEY'S GENERAL STORE #1329 / ESTHERVILLE,Big Spenders,8 CENTRAL AVE,EMMET,-94.8436,43.40184
